model,digit,precision,recall,f1,class_accuracy,support
MLP,0,0.940079,0.976531,0.957958,0.976531,980
MLP,1,0.965998,0.976211,0.971078,0.976211,1135
MLP,2,0.905734,0.903101,0.904415,0.903101,1032
MLP,3,0.927900,0.879208,0.902898,0.879208,1010
MLP,4,0.917339,0.926680,0.921986,0.926680,982
MLP,5,0.885945,0.862108,0.873864,0.862108,892
MLP,6,0.932029,0.944676,0.938310,0.944676,958
MLP,7,0.926614,0.921206,0.923902,0.921206,1028
MLP,8,0.858987,0.888090,0.873296,0.888090,974
MLP,9,0.910010,0.891972,0.900901,0.891972,1009
CNN,0,0.981781,0.989796,0.985772,0.989796,980
CNN,1,0.990265,0.985903,0.988079,0.985903,1135
CNN,2,0.982249,0.965116,0.973607,0.965116,1032
CNN,3,0.982090,0.977228,0.979653,0.977228,1010
CNN,4,0.983539,0.973523,0.978506,0.973523,982
CNN,5,0.973539,0.989910,0.981656,0.989910,892
CNN,6,0.982420,0.991649,0.987013,0.991649,958
CNN,7,0.971292,0.987354,0.979257,0.987354,1028
CNN,8,0.964583,0.950719,0.957601,0.950719,974
CNN,9,0.962451,0.965312,0.963879,0.965312,1009
